CalendarDate,WeekId,WeekStartDate,MonthId,QuarterId,YearId
2024-01-01,20240101,2024-01-01,202401,2024Q1,2024
2024-01-02,20240101,2024-01-01,202401,2024Q1,2024
2024-01-03,20240101,2024-01-01,202401,2024Q1,2024
2024-01-04,20240101,2024-01-01,202401,2024Q1,2024
2024-01-05,20240101,2024-01-01,202401,2024Q1,2024
2024-01-06,20240101,2024-01-01,202401,2024Q1,2024
2024-01-07,20240101,2024-01-01,202401,2024Q1,2024
2024-01-08,20240108,2024-01-08,202401,2024Q1,2024
2024-01-09,20240108,2024-01-08,202401,2024Q1,2024
2024-01-10,20240108,2024-01-08,202401,2024Q1,2024
2024-01-11,20240108,2024-01-08,202401,2024Q1,2024
2024-01-12,20240108,2024-01-08,202401,2024Q1,2024
2024-01-13,20240108,2024-01-08,202401,2024Q1,2024
2024-01-14,20240108,2024-01-08,202401,2024Q1,2024
2024-01-15,20240115,2024-01-15,202401,2024Q1,2024
2024-01-16,20240115,2024-01-15,202401,2024Q1,2024
2024-01-17,20240115,2024-01-15,202401,2024Q1,2024
2024-01-18,20240115,2024-01-15,202401,2024Q1,2024
2024-01-19,20240115,2024-01-15,202401,2024Q1,2024
2024-01-20,20240115,2024-01-15,202401,2024Q1,2024
2024-01-21,20240115,2024-01-15,202401,2024Q1,2024
2024-01-22,20240122,2024-01-22,202401,2024Q1,2024
2024-01-23,20240122,2024-01-22,202401,2024Q1,2024
2024-01-24,20240122,2024-01-22,202401,2024Q1,2024
2024-01-25,20240122,2024-01-22,202401,2024Q1,2024
2024-01-26,20240122,2024-01-22,202401,2024Q1,2024
2024-01-27,20240122,2024-01-22,202401,2024Q1,2024
2024-01-28,20240122,2024-01-22,202401,2024Q1,2024
2024-01-29,20240129,2024-01-29,202401,2024Q1,2024
2024-01-30,20240129,2024-01-29,202401,2024Q1,2024
2024-01-31,20240129,2024-01-29,202401,2024Q1,2024
2024-02-01,20240129,2024-01-29,202402,2024Q1,2024
2024-02-02,20240129,2024-01-29,202402,2024Q1,2024
2024-02-03,20240129,2024-01-29,202402,2024Q1,2024
2024-02-04,20240129,2024-01-29,202402,2024Q1,2024
2024-02-05,20240205,2024-02-05,202402,2024Q1,2024
2024-02-06,20240205,2024-02-05,202402,2024Q1,2024
2024-02-07,20240205,2024-02-05,202402,2024Q1,2024
2024-02-08,20240205,2024-02-05,202402,2024Q1,2024
2024-02-09,20240205,2024-02-05,202402,2024Q1,2024
2024-02-10,20240205,2024-02-05,202402,2024Q1,2024
2024-02-11,20240205,2024-02-05,202402,2024Q1,2024
2024-02-12,20240212,2024-02-12,202402,2024Q1,2024
2024-02-13,20240212,2024-02-12,202402,2024Q1,2024
2024-02-14,20240212,2024-02-12,202402,2024Q1,2024
2024-02-15,20240212,2024-02-12,202402,2024Q1,2024
2024-02-16,20240212,2024-02-12,202402,2024Q1,2024
2024-02-17,20240212,2024-02-12,202402,2024Q1,2024
2024-02-18,20240212,2024-02-12,202402,2024Q1,2024
2024-02-19,20240219,2024-02-19,202402,2024Q1,2024
2024-02-20,20240219,2024-02-19,202402,2024Q1,2024
2024-02-21,20240219,2024-02-19,202402,2024Q1,2024
2024-02-22,20240219,2024-02-19,202402,2024Q1,2024
2024-02-23,20240219,2024-02-19,202402,2024Q1,2024
2024-02-24,20240219,2024-02-19,202402,2024Q1,2024
2024-02-25,20240219,2024-02-19,202402,2024Q1,2024
2024-02-26,20240226,2024-02-26,202402,2024Q1,2024
2024-02-27,20240226,2024-02-26,202402,2024Q1,2024
2024-02-28,20240226,2024-02-26,202402,2024Q1,2024
2024-02-29,20240226,2024-02-26,202402,2024Q1,2024
2024-03-01,20240226,2024-02-26,202403,2024Q1,2024
2024-03-02,20240226,2024-02-26,202403,2024Q1,2024
2024-03-03,20240226,2024-02-26,202403,2024Q1,2024
2024-03-04,20240304,2024-03-04,202403,2024Q1,2024
2024-03-05,20240304,2024-03-04,202403,2024Q1,2024
2024-03-06,20240304,2024-03-04,202403,2024Q1,2024
2024-03-07,20240304,2024-03-04,202403,2024Q1,2024
2024-03-08,20240304,2024-03-04,202403,2024Q1,2024
2024-03-09,20240304,2024-03-04,202403,2024Q1,2024
2024-03-10,20240304,2024-03-04,202403,2024Q1,2024
2024-03-11,20240311,2024-03-11,202403,2024Q1,2024
2024-03-12,20240311,2024-03-11,202403,2024Q1,2024
2024-03-13,20240311,2024-03-11,202403,2024Q1,2024
2024-03-14,20240311,2024-03-11,202403,2024Q1,2024
2024-03-15,20240311,2024-03-11,202403,2024Q1,2024
2024-03-16,20240311,2024-03-11,202403,2024Q1,2024
2024-03-17,20240311,2024-03-11,202403,2024Q1,2024
2024-03-18,20240318,2024-03-18,202403,2024Q1,2024
2024-03-19,20240318,2024-03-18,202403,2024Q1,2024
2024-03-20,20240318,2024-03-18,202403,2024Q1,2024
2024-03-21,20240318,2024-03-18,202403,2024Q1,2024
2024-03-22,20240318,2024-03-18,202403,2024Q1,2024
2024-03-23,20240318,2024-03-18,202403,2024Q1,2024
2024-03-24,20240318,2024-03-18,202403,2024Q1,2024
2024-03-25,20240325,2024-03-25,202403,2024Q1,2024
2024-03-26,20240325,2024-03-25,202403,2024Q1,2024
2024-03-27,20240325,2024-03-25,202403,2024Q1,2024
2024-03-28,20240325,2024-03-25,202403,2024Q1,2024
2024-03-29,20240325,2024-03-25,202403,2024Q1,2024
2024-03-30,20240325,2024-03-25,202403,2024Q1,2024
2024-03-31,20240325,2024-03-25,202403,2024Q1,2024
